AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A0817490,MISSY,DOG,TAN,BLACK,YORKSHIRE TERR,SPAYED,2012-09-18,11 YEARS,2024-07-15,DEAD,DISPO REQ,OTC,,2024-07-15,DISPOSAL,,DEAD,,SAN JOSE,2024-07-15
A0820045,ATHENA,DOG,BLACK,BROWN,MIN PINSCHER,FEMALE,2010-05-04,14 YEARS,2024-09-12,DEAD,DISPO REQ,OTC,,2024-09-12,DISPOSAL,,DEAD,,SAN JOSE,2024-09-12
A0820993,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,NO AGE,2024-09-11,AGGRESSIVE,STRAY,OTC,,2024-09-11,EUTH,U MED SEV,MED SEV,CHOPIN AVE X PUCCINI AVE,SAN JOSE,2024-09-11
A0829460,LITTLE MAN (FAT MAN),DOG,TAN,,CHIHUAHUA SH,NEUTERED,2012-05-17,12 YEARS,2024-07-16,HEALTHY,STRAY,MEDVET,,2024-07-20,RTO,,HEALTHY,SANTA TERESA X SAN IGNACIO,SAN JOSE,2024-07-20
A0830781,MOOMOO,CAT,WHITE,GRAY,DOMESTIC SH,SPAYED,2013-03-29,11 YEARS,2024-08-21,MED R,STRAY,OTC,,2024-09-18,ADOPTION,,HEALTHY,LEWISTON DR  X MIDVALE LN,SAN JOSE,2024-09-18
A0842371,,CAT,TABBY-ORG,,DOMESTIC SH,SPAYED,2011-07-19,13 YEARS,2024-07-19,MED SEV,STRAY,FOUND,,2024-07-25,EUTH,U MED SEV,MED SEV,12TH STREET AND SANTA CLARA ST.,SAN JOSE,2024-07-25
A0847649,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2024-08-07,DEAD,DISPO REQ,OTC,,2024-08-07,DISPOSAL,,DEAD,PFEIFLE AVE X FEHREN DR,SAN JOSE,2024-08-07
A0870272,LILY,DOG,WHITE,BROWN,PIT BULL,SPAYED,2013-04-09,11 YEARS,2024-07-11,HEALTHY,CONFISCATE,POLICE,,2024-07-18,RTO,,HEALTHY,,SAN JOSE,2024-07-18
A0871219,,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-26,MED EMERG,STRAY,FIELD,,2024-07-26,EUTH,U MED EMRG,MED EMERG,MAYSONG CT X AUTUMNSONG,SAN JOSE,2024-07-26
A0881604,ANGEL,DOG,BLACK,,POODLE MIN,SPAYED,2010-08-03,14 YEARS,2024-08-03,HEALTHY,STRAY,OTC,,2024-08-03,RTO,WALK IN,HEALTHY,600 BLOCK NORTH/E CAPITOL EXPY,SAN JOSE,2024-08-06
A0882045,HADES,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2013-05-19,11 YEARS,2024-09-19,DEAD,DISPO REQ,OTC OWNED,,2024-09-19,DISPOSAL,,DEAD,,SAN JOSE,2024-09-19
A0888756,COTTON,DOG,WHITE,TAN,MALTESE,NEUTERED,2008-03-25,16 YEARS,2024-07-21,MED R,STRAY,OTC,,2024-07-22,RTO,FACEBOOK,MED R,YASOU DEMAS WAY X AUTOTECH WY,SAN JOSE,2024-07-22
A0890284,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2024-08-21,MED SEV,STRAY,OTC,,2024-08-23,DIED,IN KENNEL,MED SEV,UMBARGER RD X AIELLO DR,SAN JOSE,2024-08-23
A0894526,,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2024-07-13,MED R,STRAY,MEDVET,,2024-07-13,EUTH,U CANCER,MED EMERG,3300 BLK OF MIRA VISTA CIR.,SAN JOSE,2024-07-13
A0897696,BRAVEHEART,CAT,GRAY,,DOMESTIC SH,NEUTERED,2014-03-28,10 YEARS,2024-09-16,MED M,OWNER SUR,OTC,,2024-09-23,ADOPTION,WALK IN,HEALTHY,,SAN JOSE,2024-09-23
A0901222,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2024-09-10,DEAD,DISPO REQ,OTC,,2024-09-10,DISPOSAL,,DEAD,"1700 BLOCK CHENEY DR, SAN JOSE CA 95128",SAN JOSE,2024-09-10
A0902350,LOLA,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2014-05-11,10 YEARS,2024-08-23,MED R,STRAY,OTC,,2024-09-15,RESCUE,PAWS4SJACS,MED R,SIENNA DR,SAN JOSE,2024-09-15
A0924547,LITTLE KITTY,CAT,PT-LYNX,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-08,DEAD,DISPO REQ,OTC,,2024-07-08,DISPOSAL,,DEAD,JUNEBERRY CT,SAN JOSE,2024-07-08
A0934692,,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,,NO AGE,2024-08-21,DEAD,DISPO REQ,FIELD,,2024-08-21,DISPOSAL,,DEAD,MARBURG WAY X LAS PLUMAS,SAN JOSE,2024-08-21
A0935559,LULU,DOG,BLACK,WHITE,BOSTON TERRIER,SPAYED,,NO AGE,2024-07-24,HEALTHY,STRAY,OTC,,2024-07-25,RTO,WEBSITE,HEALTHY,QUITO RD X DEVON AVE,SARATOGA,2024-07-25
A0941043,POLO BLUE,DOG,BLUE,,PIT BULL,NEUTERED,2013-10-14,1 YEAR 6 MONTHS,2024-09-06,DEAD,DISPO REQ,OTC OWNED,,,,,,,SAN JOSE,2024-09-07
A0941853,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-08,MED SEV,STRAY,OTC,,2024-07-09,EUTH,U MED SEV,MED SEV,MONTEREY RD/TULLY RD,SAN JOSE,2024-07-09
A0942015,MAX,DOG,RED,,MIN PINSCHER,NEUTERED,2014-09-22,10 YEARS,2024-08-15,HEALTHY,STRAY,OTC,IP ADOPT,2024-08-15,RTO,,HEALTHY,MINER PARK,SAN JOSE,2024-08-15
A0962939,SPARKY,DOG,WHITE,,SHIH TZU,NEUTERED,2012-08-16,12 YEARS,2024-09-16,HEALTHY,STRAY,OTC,,2024-09-16,RTO,,HEALTHY,MONTEREY RD/UMBARGER,SAN JOSE,2024-09-16
A0974791,MILO,DOG,BROWN,,CHIHUAHUA SH,NEUTERED,2014-12-17,5 YEARS,2024-08-31,DEAD,DISPO REQ,OTC,,,,,,PACINA DR / DIADEM DR,SAN JOSE,2024-08-31
A0976867,HAPPY,DOG,RED,WHITE,CHIHUAHUA SH,MALE,2012-01-07,12 YEARS,2024-09-02,MED M,STRAY,MEDVET,,2024-09-06,RTO,,,NEW JERSEY AVE,SAN JOSE,2024-09-06
A0986928,,CAT,BLACK,,DOMESTIC MH,SPAYED,2016-09-17,8 YEARS,2024-09-17,MED R,STRAY,OTC,,2024-09-26,DIED,IN KENNEL,MED SEV,SEVEN TREE BLVD/SAN MATEO DR,SAN JOSE,2024-09-26
A0997157,BUSTER,DOG,BLACK,BROWN,GERM SHEPHERD,NEUTERED,2015-06-26,9 YEARS,2024-08-31,DEAD,DISPO REQ,OTC,,,,,,0 BLOCK N WHITE RD,COUNTY,2024-08-31
A1003410,,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-21,DEAD,DISPO REQ,FIELD,,2024-07-21,DISPOSAL,,DEAD,N TEMPLE X ADAMS,MILPITAS,2024-07-21
A1003788,SAMANTHA,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2015-08-13,9 YEARS,2024-07-01,HEALTHY,OWNER SUR,OTC,ALLERGIC,2024-07-05,ADOPTION,WALK IN,,,SAN JOSE,2024-07-05
A1009667,PEGGY,DOG,WHITE,,MALTESE,SPAYED,2016-03-27,8 YEARS,2024-08-19,HEALTHY,STRAY,OTC,,2024-08-19,RTO,,HEALTHY,,SAN JOSE,2024-08-19
A1025310,BETTY,CAT,GRAY,,DOMESTIC SH,SPAYED,2016-02-16,8 YEARS,2024-08-23,HEALTHY,OWNER SUR,OTC,AGG PEOPLE,2024-09-27,ADOPTION,WALK IN,,,SAN JOSE,2024-09-27
A1025476,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2024-08-08,MED SEV,STRAY,OTC,,2024-08-15,RTF,,FERAL,CAPE MARY PL X PORT WAY,SAN JOSE,2024-08-15
A1027471,GUNNER,DOG,BLACK,WHITE,PATTERDALE TERR,NEUTERED,2013-09-07,11 YEARS,2024-07-06,MED R,STRAY,OTC,,2024-07-09,RTO,MICROCHIP,,CAPITOL/QUIMBY,SAN JOSE,2024-07-09
A1033740,LUCKY,CAT,PT-LYNX,,DOMESTIC SH,SPAYED,2016-07-01,8 YEARS,2024-07-11,HEALTHY,STRAY,OTC,,2024-07-18,TRANSFER,HSSV,HEALTHY,AMADOR DR/TALLAHASSE DR,SAN JOSE,2024-07-18
A1034900,,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,2024-08-20,MED SEV,STRAY,OTC,,2024-08-23,DIED,IN KENNEL,MED SEV,HAGA DR,SAN JOSE,2024-08-23
A1034926,,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,2024-09-04,DEAD,DISPO REQ,OTC,,2024-09-04,DISPOSAL,,DEAD,BANNER CT X BANNER DR,SAN JOSE,2024-09-04
A1036738,ANGIE,DOG,BLACK,WHITE,AMERICAN STAFF,SPAYED,2016-05-16,8 YEARS,2024-09-20,HEALTHY,STRAY,OTC,,,,,,TULLY RD / KING RD,SAN JOSE,2024-09-21
A1037561,TEEMO,DOG,TRICOLOR,,GERM SHEPHERD,NEUTERED,2016-05-18,8 YEARS,2024-07-23,DEAD,DISPO REQ,OTC,,2024-07-23,DISPOSAL,,DEAD,,SAN JOSE,2024-07-23
A1041400,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2017-09-18,7 YEARS,2024-08-08,MED R,STRAY,OTC,,2024-08-17,RTF,,MED R,TROVATA CT,SAN JOSE,2024-08-17
A1043332,LOGAN,DOG,BLACK,WHITE,SHIH TZU,NEUTERED,2018-05-20,6 YEARS,2024-08-27,HEALTHY,STRAY,OTC,,2024-09-07,ADOPTION,WALK IN,,EASTRIDGE LOOP,SAN JOSE,2024-09-07
A1046731,SUKI,DOG,WHITE,,MALTESE,SPAYED,2014-01-25,10 YEARS,2024-07-15,DEAD,DISPO REQ,OTC,,2024-07-15,DISPOSAL,,DEAD,,SAN JOSE,2024-07-15
A1046823,,CAT,GRAY,WHITE,DOMESTIC SH,SPAYED,2016-09-18,8 YEARS,2024-08-22,MED R,STRAY,OTC,,2024-08-30,RTF,,MED R,HERVEY LN,SAN JOSE,2024-08-30
A1049251,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2024-08-26,MED SEV,STRAY,OTC,,2024-08-26,EUTH,U CANCER,MED SEV,DORRIE AVE X MELBOURNE BLVD,SAN JOSE,2024-08-26
A1049694,MAMA,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,2016-11-15,7 YEARS,2024-09-25,DEAD,DISPO REQ,OTC,,2024-09-26,DISPOSAL,,DEAD,2400 BLOCK OLD RIDGE CT X BATTAGLIA CIR,SAN JOSE,2024-09-26
A1055658,,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-08,MED SEV,STRAY,OTC,,2024-07-08,RTF,,MED R,GLENGROVE WAY X GLENGARRY DR,SAN JOSE,2024-07-08
A1061363,,CAT,GRAY,,DOMESTIC SH,NEUTERED,,NO AGE,2024-08-31,MED R,STRAY,OTC,,2024-09-22,RTF,,HEALTHY,PETTIGREW X NIEMEN BLVD,SAN JOSE,2024-09-22
A1061528,,CAT,TABBY-BRN,,DOMESTIC MH,SPAYED,,NO AGE,2024-08-22,DEAD,DISPO REQ,OTC,,2024-08-22,DISPOSAL,,DEAD,1600 BLOCK HERMOCILLA WAY X S KING RD,SAN JOSE,2024-08-22
A1062344,GRIFFEY,DOG,BLACK,WHITE,BOSTON TERRIER,MALE,2014-06-29,10 YEARS,2024-07-24,HEALTHY,STRAY,OTC,,2024-07-25,RTO,WEBSITE,HEALTHY,QUITO RD X DEVON AVE,SARATOGA,2024-07-25
A1068193,LANI,DOG,WHITE,BROWN,PIT BULL,SPAYED,2016-11-11,7 YEARS,2024-07-15,MED R,STRAY,OTC,,2024-07-15,RTO,WALK IN,MED R,PUCCINI AVE/RIGELETTO DR,SAN JOSE,2024-07-21
A1069371,TUCKER,DOG,TAN,WHITE,FOX TERR WIRE,NEUTERED,2017-09-07,7 YEARS,2024-07-15,HEALTHY,STRAY,OTC,,2024-07-23,LOST EXP,,HEALTHY,WESTGATE/HUSTED AVE,SAN JOSE,2024-07-23
A1069371,TUCKER,DOG,TAN,WHITE,FOX TERR WIRE,NEUTERED,2017-09-07,7 YEARS,2024-07-23,HEALTHY,STRAY,OTC,,2024-08-10,ADOPTION,WALK IN,HEALTHY,WESTGATE/HUSTED AVE,SAN JOSE,2024-08-10
A1075388,,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-30,MED SEV,STRAY,MEDVET,,2024-07-30,EUTH,U MED EMRG,MED SEV,400 BLOCK EZIE ST,SAN JOSE,2024-07-30
A1081750,ZOOEY,DOG,GRAY,WHITE,SIBERIAN HUSKY,SPAYED,2013-04-04,11 YEARS,2024-08-23,HEALTHY,CONFISCATE,ASO,,2024-09-04,RTO,,HEALTHY,,MILPITAS,2024-09-04
A1091805,,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-30,DEAD,DISPO REQ,MEDVET,,2024-07-30,DISPOSAL,,DEAD,100 BLOCK AUTUMN ST,SAN JOSE,2024-07-30
A1098516,LADOO,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,2018-04-01,6 YEARS,2024-07-13,DEAD,DISPO REQ,FIELD,,,,,,ORANGE AVE / LOMITA AVE,CUPERTINO,2024-07-14
A1102881,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2024-08-17,MED R,STRAY,OTC,,2024-08-20,EUTH,U MED EMRG,MED EMERG,BELLINGHAM DR/BECKET DR,SAN JOSE,2024-08-20
A1102935,WILLOW,DOG,GRAY,,PIT BULL,FEMALE,2015-09-29,9 YEARS,2024-09-09,BEH U,CONFISCATE,BITE,,2024-09-19,RTO,WALK IN,HEALTHY,,SAN JOSE,2024-09-19
A1105262,POE,DOG,BLACK,WHITE,BORDER COLLIE,NEUTERED,2018-05-21,6 YEARS,2024-07-12,HEALTHY,STRAY,FOUND,,2024-07-18,RTO,,,SILVER OAK ST X SAN FELIPE RD,SAN JOSE,2024-07-21
A1105262,POE,DOG,BLACK,WHITE,BORDER COLLIE,NEUTERED,2018-05-21,6 YEARS,2024-07-12,HEALTHY,STRAY,FOUND,,2024-07-13,LOST EXP,,HEALTHY,SILVER OAK ST X SAN FELIPE RD,SAN JOSE,2024-08-11
A1105262,POE,DOG,BLACK,WHITE,BORDER COLLIE,NEUTERED,2018-05-21,6 YEARS,2024-07-18,HEALTHY,OWNER SUR,OTC,,2024-08-11,ADOPTION,,HEALTHY,,SAN JOSE,2024-08-11
A1106961,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2018-07-26,6 YEARS,2024-07-26,MED R,STRAY,OTC,,2024-08-04,RTF,,MED R,BRODIE DR X SINGLETON RD,SAN JOSE,2024-08-04
A1108336,CHUBBS,CAT,GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2024-07-31,PREGNANT,STRAY,FIELD,,2024-07-31,ADOPTION,WALK IN,,,SAN JOSE,2024-07-31
A1109962,BELKA,DOG,CREAM,,SIBERIAN HUSKY,SPAYED,2014-07-02,10 YEARS,2024-07-13,MED R,STRAY,OTC,IP ADOPT,2024-07-14,RTO,,MED R,,SAN JOSE,2024-07-14
A1111472,ROCKET,DOG,BLUE MERLE,,AUST CATTLE DOG,NEUTERED,2018-09-18,5 YEARS,2024-08-20,DEAD,DISPO REQ,FIELD OWN,,2024-08-26,DISPOSAL,,DEAD,,CAMPBELL,2024-08-26
A1114338,BONNIE,DOG,BROWN,,CHIHUAHUA SH,FEMALE,2016-01-16,8 YEARS,2024-07-19,DEAD,DISPO REQ,OTC,,2024-07-19,DISPOSAL,,DEAD,,SAN JOSE,2024-07-19
A1115180,WINTER,DOG,WHITE,GRAY,SIBERIAN HUSKY,NEUTERED,2015-01-30,9 YEARS,2024-08-16,MED R,STRAY,OTC,,2024-09-20,FOSTER,,HEALTHY,E HEDDING ST X MABURY RD,SAN JOSE,2024-09-20
A1118226,PHILLY,DOG,GRAY,WHITE,PIT BULL,NEUTERED,2015-02-28,9 YEARS,2024-07-03,BEH U,CONFISCATE,ASO,,2024-07-23,RESCUE,MIRANDAS,BEH U,,SAN JOSE,2024-08-26
A1120649,,CAT,GRAY,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2024-08-06,MED SEV,STRAY,OTC,,2024-08-06,EUTH,U MED EMRG,MED SEV,PORT WAY X IVY GLEN DR,SAN JOSE,2024-08-06
A1120853,SAMMY,DOG,BLACK,TAN,YORKSHIRE TERR,NEUTERED,2011-03-11,13 YEARS,2024-07-16,DEAD,DISPO REQ,OTC,,2024-07-16,DISPOSAL,,DEAD,CURTNER / MONTEREY,SAN JOSE,2024-07-16
A1120912,CHARLIE,DOG,WHITE,,PIT BULL,NEUTERED,2018-05-14,6 YEARS,2024-07-04,HEALTHY,FOSTER,,,2024-07-08,ADOPTION,WALK IN,HEALTHY,RIVER OAKS/ N FIRST ST,SAN JOSE,2024-07-08
A1120912,CHARLIE,DOG,WHITE,,PIT BULL,NEUTERED,2018-05-14,6 YEARS,2024-07-09,MED M,OWNER SUR,FIELD,,2024-07-16,RTO,MICROCHIP,HEALTHY,,SAN JOSE,2024-07-16
A1122568,OREO,DOG,BLACK,WHITE,SHIH TZU,MALE,2019-02-09,5 YEARS,2024-08-23,HEALTHY,STRAY,FIELD,,2024-08-25,RTO,MICROCHIP,HEALTHY,OCALA X CAPITOL,SAN JOSE,2024-08-25
A1123238,BLACK BOY,DOG,BLACK,TAN,GERM SHEPHERD,MALE,,NO AGE,2024-07-10,DEAD,DISPO REQ,OTC,,2024-07-10,DISPOSAL,,DEAD,,SAN JOSE,2024-07-10
A1125831,,CAT,PT-CHOC,,DOMESTIC MH,SPAYED,,NO AGE,2024-08-22,MED R,STRAY,OTC,,2024-08-31,SPAY,,MED R,N JACKSON AVE X MAMMOTH DR,SAN JOSE,2024-08-31
A1127258,,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,2011-09-13,13 YEARS,2024-09-06,MED R,STRAY,OTC,,2024-09-14,RTF,,HEALTHY,TOYON AVE/MCKEE RD,SAN JOSE,2024-09-14
A1127390,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,NO AGE,2024-08-01,MED R,STRAY,OTC,,2024-08-06,RTF,,MED R,OAKBRIDGE DR X TOWERS LN,SAN JOSE,2024-08-06
A1128528,PEWEE,DOG,BLACK,WHITE,CHIHUAHUA SH,MALE,2013-05-11,11 YEARS,2024-08-11,HEALTHY,STRAY,OTC,,2024-08-12,RTO,,HEALTHY,,SAN JOSE,2024-08-12
A1137325,CYPRESS,CAT,BLACK,,DOMESTIC SH,SPAYED,2019-05-22,5 YEARS,2024-09-06,DEAD,DISPO REQ,OTC,,,,,,2800 BLOCK BATON ROUGE X BATON ROUGE DR,SAN JOSE,2024-09-07
A1139241,MAUI,DOG,WHITE,GRAY,SIBERIAN HUSKY,SPAYED,2017-07-24,7 YEARS,2024-09-09,MED R,STRAY,OTC,,,,,,MONTEREY RD/UMBARGER RD,SAN JOSE,2024-09-19
A1139241,MAUI,DOG,WHITE,GRAY,SIBERIAN HUSKY,SPAYED,2017-07-24,7 YEARS,2024-08-26,MED R,STRAY,FIELD,,2024-08-26,RTO,MICROCHIP,MED R,NORDYKE DR,SAN JOSE,2024-08-26
A1140792,LOBO,DOG,BLACK,TAN,GERM SHEPHERD,MALE,2014-07-30,10 YEARS,2024-08-04,MED R,STRAY,FIELD,,2024-08-07,RTO,,HEALTHY,BATTAGLIA X CAPITOL,SAN JOSE,2024-08-07
A1146689,OBIE,DOG,BROWN,,POMERANIAN,MALE,2008-09-11,16 YEARS,2024-09-12,DEAD,DISPO REQ,OTC OWNED,,2024-09-12,DISPOSAL,,DEAD,,COUNTY,2024-09-12
A1147233,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2024-09-26,MED R,STRAY,OTC,,,,,,3100 BLOCK TERRA COTTA CT / TERRA COTTA CT,SAN JOSE,2024-09-26
A1149408,CLARK GABLE,DOG,TAN,WHITE,WELSH CORGI CAR,NEUTERED,2019-07-29,5 YEARS,2024-08-30,DEAD,DISPO REQ,FIELD,,,,,,800 BLOCK OF OPAL DR,SAN JOSE,2024-08-30
A1153239,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,2024-09-12,DEAD,DISPO REQ,OTC,,2024-09-12,DISPOSAL,,DEAD,CHELTENHAM WAY X WINSTED CT,SAN JOSE,2024-09-12
A1153263,HONEY,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,2018-10-30,5 YEARS,2024-07-23,HEALTHY,OWNER SUR,OTC,,2024-07-30,RESCUE,COMPANIONA,,,SAN JOSE,2024-07-30
A1153263,HONEY,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,2018-10-30,5 YEARS,2024-07-16,HEALTHY,STRAY,OTC,,2024-07-23,TRANSFER,,HEALTHY,MONTEREY/UMBARGER,SAN JOSE,2024-07-23
A1156286,BON BON,DOG,CREAM,,CHIHUAHUA SH,MALE,2012-10-16,11 YEARS,2024-09-15,MED R,STRAY,MEDVET,,2024-09-15,RTO,,MED R,ALMA X ALMDADEN,SAN JOSE,2024-09-15
A1163043,,CAT,ORANGE,,DOMESTIC SH,SPAYED,,NO AGE,2024-09-26,MED SEV,STRAY,OTC,,2024-09-26,EUTH,U MED SEV,MED SEV,,,2024-09-26
A1163043,,CAT,ORANGE,,DOMESTIC SH,SPAYED,,NO AGE,2024-09-26,MED R,STRAY,OTC,,,,,,HELLYER  AVE / YERBA BUENA RD,SAN JOSE,2024-09-26
